timestamp,J11,J12,J13,J14,J15,J16,J21,J22,J23,J24,J25,J26
 5328,  -4.4297,    .3310,  -8.7208,   2.4133, -75.3792,   1.6350,   8.2606,  -6.6847,  -8.2565,   3.5359, -89.3244,  -8.4957
 5340,  -4.4297,    .3310,  -8.7208,   2.4133, -75.3792,   1.6350,   8.2606,  -6.6847,  -8.2565,   3.5359, -89.3244,  -8.4957
 5352,  -4.3310,    .2920,  -8.5729,   2.3654, -75.6947,   1.6091,   8.0615,  -6.5554,  -8.0965,   3.4594, -89.3228,  -8.2905
 5364,  -4.2322,    .2542,  -8.4229,   2.3171, -76.0109,   1.5827,   7.8630,  -6.4251,  -7.9354,   3.3828, -89.3219,  -8.0859
 5376,  -4.1334,    .2179,  -8.2706,   2.2687, -76.3278,   1.5558,   7.6651,  -6.2937,  -7.7732,   3.3060, -89.3217,  -7.8819
 5388,  -4.0345,    .1829,  -8.1161,   2.2199, -76.6454,   1.5284,   7.4678,  -6.1614,  -7.6098,   3.2290, -89.3223,  -7.6785
 5400,  -3.9356,    .1493,  -7.9594,   2.1710, -76.9637,   1.5006,   7.2711,  -6.0281,  -7.4453,   3.1518, -89.3235,  -7.4757
 5412,  -3.8366,    .1171,  -7.8004,   2.1218, -77.2828,   1.4723,   7.0750,  -5.8938,  -7.2796,   3.0745, -89.3255,  -7.2736
 5424,  -3.7375,    .0863,  -7.6392,   2.0723, -77.6025,   1.4436,   6.8795,  -5.7585,  -7.1129,   2.9970, -89.3283,  -7.0720
 5436,  -3.6384,    .0570,  -7.4757,   2.0226, -77.9229,   1.4143,   6.6847,  -5.6223,  -6.9450,   2.9193, -89.3317,  -6.8712
 5448,  -3.5393,    .0291,  -7.3099,   1.9726, -78.2440,   1.3846,   6.4904,  -5.4850,  -6.7759,   2.8415, -89.3359,  -6.6709
 5460,  -3.4401,    .0026,  -7.1419,   1.9223, -78.5659,   1.3544,   6.2968,  -5.3468,  -6.6057,   2.7635, -89.3409,  -6.4713
 5472,  -3.3409,   -.0223,  -6.9715,   1.8718, -78.8883,   1.3237,   6.1038,  -5.2076,  -6.4343,   2.6853, -89.3466,  -6.2724
 5484,  -3.2417,   -.0458,  -6.7991,   1.8211, -79.2111,   1.2926,   5.9116,  -5.0676,  -6.2620,   2.6071, -89.3530,  -6.0742
 5496,  -3.1427,   -.0679,  -6.6248,   1.7702, -79.5340,   1.2610,   5.7204,  -4.9269,  -6.0888,   2.5289, -89.3602,  -5.8772
 5508,  -3.0440,   -.0884,  -6.4487,   1.7191, -79.8565,   1.2290,   5.5304,  -4.7857,  -5.9150,   2.4507, -89.3681,  -5.6813
 5520,  -2.8475,   -.1249,  -6.0923,   1.6169, -80.4994,   1.1640,   5.1544,  -4.5021,  -5.5660,   2.2950, -89.3861,  -5.2939
 5532,  -2.8475,   -.1249,  -6.0923,   1.6169, -80.4994,   1.1640,   5.1544,  -4.5021,  -5.5660,   2.2950, -89.3861,  -5.2939
 5544,  -2.7500,   -.1410,  -5.9124,   1.5657, -80.8190,   1.1311,   4.9689,  -4.3601,  -5.3913,   2.2176, -89.3962,  -5.1027
 5556,  -2.6532,   -.1555,  -5.7317,   1.5147, -81.1370,   1.0979,   4.7852,  -4.2181,  -5.2166,   2.1405, -89.4069,  -4.9135
 5568,  -2.5571,   -.1685,  -5.5504,   1.4637, -81.4530,   1.0645,   4.6035,  -4.0764,  -5.0422,   2.0640, -89.4183,  -4.7263
 5580,  -2.4617,   -.1801,  -5.3687,   1.4130, -81.7667,   1.0309,   4.4240,  -3.9350,  -4.8682,   1.9880, -89.4303,  -4.5414
 5592,  -2.3673,   -.1903,  -5.1869,   1.3624, -82.0777,    .9972,   4.2469,  -3.7941,  -4.6948,   1.9126, -89.4429,  -4.3590
 5604,  -2.2739,   -.1991,  -5.0052,   1.3122, -82.3858,    .9635,   4.0722,  -3.6540,  -4.5223,   1.8380, -89.4561,  -4.1791
 5616,  -2.1816,   -.2065,  -4.8239,   1.2623, -82.6906,    .9297,   3.9002,  -3.5148,  -4.3509,   1.7642, -89.4697,  -4.0020
 5628,  -2.0905,   -.2125,  -4.6432,   1.2128, -82.9917,    .8960,   3.7310,  -3.3766,  -4.1807,   1.6912, -89.4839,  -3.8279
 5640,  -2.0007,   -.2173,  -4.4634,   1.1637, -83.2888,    .8623,   3.5648,  -3.2397,  -4.0120,   1.6193, -89.4986,  -3.6568
 5652,  -1.9123,   -.2209,  -4.2848,   1.1152, -83.5816,    .8288,   3.4017,  -3.1041,  -3.8450,   1.5483, -89.5136,  -3.4890
 5664,  -1.8254,   -.2232,  -4.1076,   1.0672, -83.8698,    .7954,   3.2418,  -2.9702,  -3.6799,   1.4785, -89.5290,  -3.3245
 5676,  -1.7401,   -.2245,  -3.9322,   1.0199, -84.1530,    .7623,   3.0854,  -2.8380,  -3.5170,   1.4099, -89.5448,  -3.1636
 5688,  -1.6564,   -.2246,  -3.7588,    .9733, -84.4308,    .7295,   2.9325,  -2.7079,  -3.3564,   1.3426, -89.5608,  -3.0064
 5700,  -1.5745,   -.2238,  -3.5876,    .9275, -84.7030,    .6970,   2.7833,  -2.5798,  -3.1985,   1.2767, -89.5770,  -2.8531
 5712,  -1.4164,   -.2193,  -3.2535,    .8384, -85.2290,    .6333,   2.4967,  -2.3310,  -2.8914,   1.1494, -89.6099,  -2.5585
 5724,  -1.4164,   -.2193,  -3.2535,    .8384, -85.2290,    .6333,   2.4967,  -2.3310,  -2.8914,   1.1494, -89.6099,  -2.5585
 5736,  -1.3405,   -.2158,  -3.0910,    .7953, -85.4822,    .6023,   2.3595,  -2.2106,  -2.7427,   1.0881, -89.6265,  -2.4175
 5748,  -1.2666,   -.2116,  -2.9320,    .7532, -85.7284,    .5718,   2.2265,  -2.0931,  -2.5975,   1.0285, -89.6430,  -2.2810
 5760,  -1.1949,   -.2068,  -2.7766,    .7122, -85.9675,    .5419,   2.0978,  -1.9786,  -2.4559,    .9705, -89.6595,  -2.1488
 5772,  -1.1254,   -.2013,  -2.6249,    .6722, -86.1997,    .5127,   1.9733,  -1.8671,  -2.3181,    .9144, -89.6759,  -2.0210
 5784,  -1.0581,   -.1953,  -2.4769,    .6333, -86.4247,    .4841,   1.8530,  -1.7587,  -2.1839,    .8599, -89.6923,  -1.8975
 5796,   -.9928,   -.1889,  -2.3327,    .5955, -86.6428,    .4563,   1.7368,  -1.6533,  -2.0536,    .8072, -89.7084,  -1.7783
 5808,   -.9298,   -.1820,  -2.1924,    .5589, -86.8537,    .4291,   1.6248,  -1.5511,  -1.9270,    .7561, -89.7243,  -1.6634
 5820,   -.8690,   -.1748,  -2.0561,    .5233, -87.0576,    .4027,   1.5169,  -1.4521,  -1.8044,    .7069, -89.7401,  -1.5527
 5832,   -.8103,   -.1672,  -1.9239,    .4889, -87.2544,    .3770,   1.4130,  -1.3563,  -1.6857,    .6593, -89.7555,  -1.4462
 5844,   -.7538,   -.1594,  -1.7957,    .4557, -87.4440,    .3520,   1.3132,  -1.2638,  -1.5710,    .6135, -89.7707,  -1.3439
 5856,   -.6995,   -.1514,  -1.6718,    .4236, -87.6266,    .3279,   1.2174,  -1.1745,  -1.4603,    .5695, -89.7855,  -1.2457
 5868,   -.6473,   -.1433,  -1.5521,    .3927, -87.8020,    .3045,   1.1257,  -1.0885,  -1.3537,    .5271, -89.8000,  -1.1517
 5880,   -.5973,   -.1351,  -1.4368,    .3630, -87.9702,    .2820,   1.0379,  -1.0059,  -1.2512,    .4866, -89.8141,  -1.0618
 5892,   -.5495,   -.1268,  -1.3259,    .3345, -88.1313,    .2603,    .9540,   -.9266,  -1.1529,    .4477, -89.8279,   -.9759
 5904,   -.4604,   -.1103,  -1.1176,    .2811, -88.4320,    .2195,    .7982,   -.7784,   -.9688,    .3753, -89.8539,   -.8163
 5916,   -.4604,   -.1103,  -1.1176,    .2811, -88.4320,    .2195,    .7982,   -.7784,   -.9688,    .3753, -89.8539,   -.8163
 5928,   -.4192,   -.1021,  -1.0203,    .2563, -88.5715,    .2004,    .7262,   -.7095,   -.8831,    .3418, -89.8662,   -.7426
 5940,   -.3801,   -.0941,   -.9277,    .2327, -88.7038,    .1822,    .6580,   -.6441,   -.8018,    .3100, -89.8780,   -.6728
 5952,   -.3431,   -.0863,   -.8398,    .2104, -88.8289,    .1650,    .5938,   -.5821,   -.7248,    .2799, -89.8893,   -.6071
 5964,   -.3084,   -.0787,   -.7567,    .1893, -88.9468,    .1487,    .5334,   -.5237,   -.6522,    .2516, -89.9000,   -.5453
 5976,   -.2758,   -.0714,   -.6785,    .1695, -89.0573,    .1333,    .4768,   -.4689,   -.5840,    .2251, -89.9102,   -.4874
 5988,   -.2454,   -.0644,   -.6052,    .1510, -89.1606,    .1189,    .4241,   -.4176,   -.5202,    .2003, -89.9197,   -.4335
 6000,   -.2172,   -.0577,   -.5369,    .1337, -89.2566,    .1054,    .3751,   -.3699,   -.4608,    .1773, -89.9287,   -.3834
 6012,   -.1911,   -.0514,   -.4736,    .1178, -89.3453,    .0930,    .3300,   -.3258,   -.4059,    .1561, -89.9370,   -.3373
 6024,   -.1673,   -.0455,   -.4154,    .1032, -89.4267,    .0815,    .2887,   -.2853,   -.3555,    .1366, -89.9447,   -.2951
 6036,   -.1454,   -.0400,   -.3620,    .0898, -89.5011,    .0710,    .2510,   -.2483,   -.3094,    .1188, -89.9518,   -.2565
 6048,   -.1256,   -.0349,   -.3133,    .0776, -89.5687,    .0615,    .2167,   -.2146,   -.2674,    .1026, -89.9582,   -.2215
 6060,   -.1077,   -.0302,   -.2692,    .0666, -89.6300,    .0528,    .1858,   -.1841,   -.2294,    .0880, -89.9641,   -.1898
 6072,   -.0915,   -.0259,   -.2293,    .0566, -89.6852,    .0449,    .1579,   -.1566,   -.1951,    .0748, -89.9694,   -.1613
 6084,   -.0771,   -.0220,   -.1935,    .0477, -89.7347,    .0379,    .1330,   -.1319,   -.1645,    .0630, -89.9742,   -.1359
 6096,   -.0529,   -.0153,   -.1334,    .0328, -89.8175,    .0261,    .0913,   -.0907,   -.1130,    .0433, -89.9822,   -.0933
 6108,   -.0529,   -.0153,   -.1334,    .0328, -89.8175,    .0261,    .0913,   -.0907,   -.1130,    .0433, -89.9822,   -.0933
 6120,   -.0430,   -.0126,   -.1086,    .0267, -89.8515,    .0212,    .0742,   -.0737,   -.0919,    .0352, -89.9855,   -.0758
 6132,   -.0344,   -.0101,   -.0871,    .0213, -89.8811,    .0170,    .0594,   -.0590,   -.0736,    .0282, -89.9884,   -.0607
 6144,   -.0271,   -.0080,   -.0686,    .0168, -89.9064,    .0134,    .0467,   -.0464,   -.0579,    .0221, -89.9909,   -.0477
 6156,   -.0208,   -.0062,   -.0529,    .0129, -89.9279,    .0103,    .0359,   -.0358,   -.0446,    .0170, -89.9930,   -.0367
 6168,   -.0156,   -.0047,   -.0398,    .0097, -89.9458,    .0077,    .0270,   -.0269,   -.0335,    .0128, -89.9947,   -.0276
 6180,   -.0114,   -.0034,   -.0291,    .0070, -89.9604,    .0056,    .0197,   -.0196,   -.0244,    .0093, -89.9961,   -.0201
 6192,   -.0080,   -.0024,   -.0204,    .0049, -89.9722,    .0039,    .0138,   -.0137,   -.0171,    .0065, -89.9973,   -.0141
 6204,   -.0053,   -.0016,   -.0137,    .0033, -89.9813,    .0026,    .0092,   -.0092,   -.0115,    .0044, -89.9982,   -.0094
 6216,   -.0033,   -.0010,   -.0086,    .0020, -89.9882,    .0016,    .0058,   -.0058,   -.0072,    .0027, -89.9989,   -.0059
 6228,   -.0019,   -.0006,   -.0050,    .0012, -89.9932,    .0009,    .0033,   -.0033,   -.0042,    .0016, -89.9993,   -.0034
 6240,   -.0010,   -.0003,   -.0025,    .0006, -89.9965,    .0005,    .0017,   -.0017,   -.0021,    .0008, -89.9997,   -.0017
 6252,   -.0004,   -.0001,   -.0010,    .0002, -89.9985,    .0002,    .0007,   -.0007,   -.0009,    .0003, -89.9999,   -.0007
 6264,   -.0001,   -.0000,   -.0003,    .0000, -89.9995,    .0000,    .0002,   -.0002,   -.0002,    .0000, -90.0000,   -.0002
